ciudad,cve_ent,year,Porcentaje de vivienda con disposición adecuada de residuos,Existencia de aprovechamiento o quema de biogás en rellenos sanitarios,Porcentaje de las vivienda que regalan o venta de residuos reciclables,Porcentaje de las viviendas que realizan separación básica de residuos,Índice de disponibilidad de acuíferos,Consumo de agua (Metros cúbicos per cápita),Índice de calidad del agua superficial,Capacidad de tratamiento de agua en operación,Número de emergencias ambientales reportadas,Índice de Resiliencia a desastres naturales,Número de declaratorias de desastre en los últimos tres años ,Intensidad energética en la economía  (KWh al año por cada millón de PIB),Porcentaje de viviendas que cuentan con electricidad o boiler,"Número de empresas certificadas como ""limpia"" (de cada mil)",Índice de gestión de calidad del aire,Porcentaje de hogares con Agua surtida por pipas,Áreas verdes urbanas per cápita (m2 por habitante),Viviendas intraurbanas (porcentaje de las viviendas vigentes),Viviendas deshabitadas (porcentaje de las viviendas vigentes),Crecimiento de la mancha urbana (Tasa promedio de crecimiento anual),"Sistema de transporte masivo (no hay,  aprobado, en construcción, listo)",Red carretera avanzada (porcentaje del total de la red),Número de aerolineas que operan en ele aeropuerto,Número de líneas de autobús,Porcentaje de fondos federales para movilidad (transporte no motorizado),Porcentaje de las personas que viajan a la escuela o el trabajo en automóvil particular ,Porcentaje de personas que llegan a la escuela o al trabajo en menos de 30 minutos 
Poza Rica,Veracruz,2008,0.75,0,0.58,0.42,3,76.08,4.33,0.08,15,65,4,24930.72,0.01,7.72,1.2,0.04,0.12,0.01,0.12,0,0,0.92,5,0,0.06,0.17,0.8
Coatzacoalcos,Veracruz,2008,0.98,0,0.38,0.32,3.02,10.02,3.67,0.51,6,91.67,3,9754.39,0.01,0.87,1,0,0.2,0.05,0.2,0,2,1,0,0,0.05,0.17,0.76
Mérida,Yucatan,2008,0.93,1,0.68,0.68,3,184.24,4.67,0.05,1,90,0,21019.52,0.01,0.36,0.4,0,5.12,0.32,0.21,0.01,0,0.51,16,2,0.07,0.37,0.72
Zacatecas-Guadalupe,Zacatecas,2008,0.99,0,0.52,0.41,2,96.41,3,0.38,1,100,2,33895.25,0.18,0.22,3,0,1.9,0.21,0.21,0.01,2,0.76,7,1,0.04,0.4,0.84
Aguascalientes,Aguascalientes,2009,1,1,0.65,0.5,2,110.29,3.33,3.33,7,100,14,15438.45,0.16,0.98,2,0,4.8,0.35,0.2,0,0,0.66,13,9,0.01,0.35,0.81
Ensenada,Baja California,2009,0.92,0,0.49,0.27,2.11,128.65,3,1.33,0,100,0,33834.26,0.04,0.18,4,0.06,0.94,0.36,0.23,0,2,0.43,0,5,0,0.42,0.83
Mexicali,Baja California,2009,0.97,0,0.42,0.18,2.02,35.33,2.67,2.24,0,100,0,51779.39,0.01,0.89,6,0,1.78,0.4,0.23,0.01,0,0.29,4,7,0.02,0.57,0.81
Tijuana,Baja California,2009,0.97,0,0.44,0.24,2.13,55.12,3,1.63,3,100,6,25039.74,0.04,0.59,6,0.01,1.16,0.24,0.24,0,0,0.46,9,10,0.02,0.4,0.73
La Paz,Baja California Sur,2009,0.97,0,0.36,0.21,2.08,87.7,2,1.83,8,100,11,45443.7,0.02,0.87,1,0.02,0.29,0.12,0.2,0.02,2,0.41,7,2,0.67,0.56,0.85
Los Cabos,Baja California Sur,2009,0.94,0,0.41,0.24,2.01,100.46,3,1.59,6,100,7,37097.55,0.03,0,0,0.01,0.85,0.43,0.27,0.02,2,0.39,22,2,0,0.39,0.79
Campeche,Campeche,2009,0.93,0,0.59,0.4,3,343.28,4.67,0.24,3,100,4,28327.15,0,0.31,1,0,0.22,0.77,0.16,0.01,2,0.81,4,3,0,0.34,0.76
Ciudad del Carmen,Campeche,2009,0.89,0,0.41,0.34,3.01,114.48,4.67,0.1,4,75,5,15282.45,0.02,4.21,0,0.01,0.27,0.9,0.18,0.01,2,0.67,6,3,0,0.31,0.84
Saltillo,Coahuila,2009,0.97,0,0.54,0.32,2.03,4.94,4,2.7,0,91.67,0,12539.98,0.02,1.09,3,0,3.81,0.49,0.18,0,0,0,6,0,0,0.36,0.76
Monclova-Frontera,Coahuila,2009,0.99,0,0.4,0.21,2.16,154.6,4.33,1.47,0,100,0,41201.35,0.01,0.74,3,0,2.24,0.98,0.12,0,2,0,0,0,0,0.41,0.85
La Laguna,Coahuila,2009,0.93,0,0.64,0.44,2,117.01,4.33,1.94,3,100,6,15318.09,0.01,0.97,5.5,0,2.61,0.64,0.22,0,0,0.54,10,3,0.01,0.32,0.83
Piedras Negras,Coahuila,2009,0.99,0,0.41,0.21,3,78.76,3.67,2.13,1,100,1,24764.39,0.01,1.41,3,0,1.54,0.48,0.21,0,2,0,3,0,0.02,0.42,0.84
Tecomán,Colima,2009,0.94,0,0.42,0.19,3,135.22,3.67,0.41,5,75,7,40941.23,0,2.41,1,0,0.49,0.88,0.17,0.01,2,0.75,0,0,0.02,0.23,0.87
Colima-Villa de Álvarez,Colima,2009,0.99,0,0.62,0.36,2.48,193.87,4.33,2.23,0,95,0,39541.73,0.05,0.68,1.4,0,2.56,0.47,0.22,0.01,2,0.62,4,3,0.05,0.41,0.86
Manzanillo,Colima,2009,0.95,0,0.47,0.28,2.89,8.06,4.33,2.05,0,100,0,56218.97,0.01,0.95,1,0,0.4,0.49,0.25,0.02,2,0.75,10,3,0,0.29,0.82
Tuxtla Gutiérrez,Chiapas,2009,0.96,0,0.46,0.41,3.43,94.66,3.33,1.03,9,75,9,27325.44,0.01,0.36,2.67,0.11,1.19,0.3,0.16,0,0,0.51,9,3,0,0.21,0.73
Tapachula,Chiapas,2009,0.74,0,0.56,0.42,3,57.22,3.33,0.07,6,75,6,33794.84,0,0,2,0,0.09,0.26,0.17,0.01,2,0.38,2,3,0.02,0.14,0.85
Chihuahua,Chihuahua,2009,0.99,0,0.5,0.24,2.25,212.04,3.33,2.72,7,100,12,25452.36,0.02,1.86,2.33,0,2.18,0.27,0.21,0.01,0,0.71,15,6,0.04,0.51,0.79
Juárez,Chihuahua,2009,1,1,0.44,0.23,2.09,99.88,3,1.92,4,100,6,30480.94,0.02,3.02,3,0.02,2.01,0.74,0.25,0,0,0.48,6,6,0,0.39,0.73
Valle de México,Ciudad de México,2009,0.99,1,0.47,0.64,2.05,100.39,2,0.29,7,94.08,9,6357.92,0.03,0.57,11.96,0.02,1.43,0.41,0.14,0,3,0.63,28,33,0.12,0.19,0.59
Durango,Durango,2009,0.97,1,0.48,0.35,2.28,116.69,3.33,3.56,3,100,5,27351.87,0.1,0.99,4,0,1.75,0.36,0.18,0.02,0,0.43,7,2,0.01,0.32,0.84
Celaya,Guanajuato,2009,0.98,0,0.6,0.36,2,94.65,1.67,0.04,2,91.67,2,33750.9,0.08,0.36,7.33,0,0.55,0.27,0.2,0.01,0,0.43,0,5,0,0.26,0.81
Guanajuato,Guanajuato,2009,0.88,0,0.56,0.37,2,136.6,2.67,7.39,0,100,0,53844.81,0.05,0,10,0,0.44,0.75,0.17,0.01,2,0.59,0,4,0,0.16,0.74
Irapuato,Guanajuato,2009,0.95,0,0.62,0.42,2,105.96,2.67,2.13,0,100,0,26957.22,0.06,0,11,0.01,0.04,0.65,0.17,0.01,0,0.39,0,2,0,0.26,0.8
León,Guanajuato,2009,0.99,0,0.64,0.5,2,155.67,2,1.07,4,75,4,19091.18,0.08,0.31,11,0.01,1.15,0.35,0.17,0.01,3,0.39,15,7,0,0.28,0.74
La Piedad-Pénjamo,Guanajuato,2009,0.91,0,0.6,0.39,2,52.86,3.33,0.86,4,87.5,4,25871.65,0.11,0,2.5,0,0.34,0.35,0.24,0,2,0.29,0,1,0,0.24,0.86
San Francisco del Rincón,Guanajuato,2009,0.97,0,0.68,0.43,2,63.86,1.67,0,2,100,2,28835.28,0.12,0,6.5,0.02,0.3,0.48,0.2,0.01,2,0.32,0,0,0.01,0.25,0.89
